ign,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
HEAP,HyperX Fury S Speed Edition,HyperX Alloy Origins,HyperX Cloud Flight S,ZOWIE XL2546K,HyperX,HyperX,HyperX,ZOWIE
HEN1,VAXEE PA OUTSET,HyperX Alloy FPS RGB,HyperX Cloud Alpha S,ZOWIE XL2546,VAXEE,HyperX,HyperX,ZOWIE
HObbit,Esports Tiger Grandmaster SE Qin,Xtrfy K5 Compact RGB,HyperX Cloud II,ZOWIE XL2540,Esports,Xtrfy,HyperX,ZOWIE
HS,SteelSeries QcK Heavy,Womier K66,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Womier,HyperX,ZOWIE
Hakis,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2 Pro White,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
Hamlinz,Logitech G640,SteelSeries Apex Pro TKL,HyperX Cloud II,ZOWIE XL2546,Logitech,SteelSeries,HyperX,ZOWIE
Harbleu,ZOWIE G-SR,Corsair K70 RGB,Sennheiser HD598 SR,Samsung Odyssey G7,ZOWIE,Corsair,Sennheiser,Samsung
Hardecki,Artisan Hayate Otsu XSoft,Varmilo VA87M Vintage Days,HyperX Cloud Alpha,ASUS TUF VG258QM,Artisan,Varmilo,HyperX,ASUS
Hatz,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
HexT,ZOWIE G-SR,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2540,ZOWIE,Logitech,HyperX,ZOWIE
Hiko,ZOWIE G-SR-SE HiKo Edition,Razer Blackwidow TE,JBL Quantum One,Alienware AW2521H,ZOWIE,Razer,JBL,Alienware
HisWattson,X-raypad Aqua Control+,Razer BlackWidow V3 Pro,unknown,unknown,X-raypad,Razer,unknown,unknown
HooXi,Logitech G640,Razer Huntsman V2 TKL,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Razer,Logitech,ZOWIE
Horcus,GIGABYTE AORUS AMP500,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2546,GIGABYTE,Razer,HyperX,ZOWIE
Huskerrs,Lethal Gaming Gear Venus,Custom Keyboard,Sennheiser HD 660S,LG ULTRAGEAR 32GQ950-B,Lethal,Custom,Sennheiser,LG
Hydration,ZOWIE G-SR-SE,Corsair K65 TKL,HyperX Cloud II,HP OMEN 24.5″,ZOWIE,Corsair,HyperX,HP
INS,SteelSeries QcK Heavy,iKBC CD87,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,iKBC,HyperX,ZOWIE
ISSAA,ZOWIE G-SR-SE Dark Grey,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2540,ZOWIE,Xtrfy,HyperX,ZOWIE
ImperialHal,Artisan Hayate Otsu XSoft,Custom Keyboard,Sennheiser CX 300-II,ZOWIE XL2546K,Artisan,Custom,Sennheiser,ZOWIE
JACKZ,ZOWIE G-SR,Logitech G513,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,Logitech,Logitech,ZOWIE
JASONR,Razer Gigantus V2,Logitech G915,unknown,ZOWIE XL2540,Razer,Logitech,unknown,ZOWIE
JDC,Razer Gigantus V2 MOUZ,Razer BlackWidow V3 Pro,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
JJoNaK,ZOWIE G-SR,Logitech G Pro Keyboard,SteelSeries Arctis Pro Wireless,HP OMEN 24.5″,ZOWIE,Logitech,SteelSeries,HP
JOTA,Razer Gigantus V2,HyperX Alloy FPS,HyperX Cloud II,Alienware AW2521H,Razer,HyperX,HyperX,Alienware
JT,SteelSeries QcK+,Drop ALT Keyboard,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Drop,HyperX,ZOWIE
JUGi,ZOWIE G-SR,SteelSeries Apex M500,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,SteelSeries,Sennheiser,ZOWIE
JUST,VAXEE PA ZYGEN,ASUS ROG Claymore,HyperX Cloud II,ZOWIE XL2546K,VAXEE,ASUS,HyperX,ZOWIE
JW,Fnatic DASH,Fnatic miniSTREAK,Fnatic REACT,ZOWIE XL2540,Fnatic,Fnatic,Fnatic,ZOWIE
Jackinho,Fnatic DASH,Fnatic miniSTREAK,Fnatic REACT,ZOWIE XL2546,Fnatic,Fnatic,Fnatic,ZOWIE
Jacob,SteelSeries QcK+,SteelSeries Apex Pro Mini,SteelSeries Arctis Pro Nova Wireless,ASUS ROG SWIFT PG259QN,SteelSeries,SteelSeries,SteelSeries,ASUS
Jake,Artisan FX Hien Soft,Custom Keyboard,HyperX Cloud II,HP OMEN 24.5″,Artisan,Custom,HyperX,HP
JamYoung,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,HyperX Cloud Flight,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
Jame,VAXEE PA FunSpark V2,HyperX Alloy Elite 2,HyperX Cloud II,ZOWIE XL2546K,VAXEE,HyperX,HyperX,ZOWIE
Jamppi,VAXEE PA Black,Razer Huntsman Mini,HyperX Cloud II,ASUS ROG XG258Q,VAXEE,Razer,HyperX,ASUS
Jamside,HyperX Fury S Pro XL,SteelSeries Apex Pro TKL,HyperX Cloud Flight,GIGABYTE AORUS KD25F,HyperX,SteelSeries,HyperX,GIGABYTE
Jannis,Inked Gaming Custom Mousepad,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,Acer Predator XB252Q,Inked,SteelSeries,Logitech,Acer
Jarvis,unknown,unknown,SteelSeries Arctis 5,Alienware AW2518H,unknown,unknown,SteelSeries,Alienware
Jeemzz,Logitech G840,Ducky One 2 Mini,Bose QuietComfort 20,Alienware AW2518H,Logitech,Ducky,Bose,Alienware
Jelty,The Mousepad Company Strata Liquid 07,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,GIGABYTE AORUS KD25F,The,SteelSeries,Logitech,GIGABYTE
Jeorge,Corsair MM350 Champion Series,HyperX Alloy Origins,HyperX Cloud II,ZOWIE XL2546K,Corsair,HyperX,HyperX,ZOWIE
Jerry,ZOWIE G-SR-SE Divina Blue,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
Jesse,ZOWIE G-SR-SE,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro,ZOWIE XL2546,ZOWIE,SteelSeries,beyerdynamic,ZOWIE
Jimpphat,Logitech G640,Logitech G915,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
Jinggg,Artisan Ninja FX Zero Soft,HyperX Alloy Origins Core,Logitech G Pro X Headset,ZOWIE XL2546K,Artisan,HyperX,Logitech,ZOWIE
JonahP,Gamesense Radar,Ducky One 2 TKL White,Sennheiser GAME ZERO,ZOWIE XL2546,Gamesense,Ducky,Sennheiser,ZOWIE
Jonji,Razer Gigantus,Corsair K70 RGB MK.2,HyperX Cloud II,ZOWIE XL2546,Razer,Corsair,HyperX,ZOWIE
Jordan,ZOWIE G-SR-SE,SteelSeries Apex Pro TKL,HyperX Cloud Alpha,ASUS ROG SWIFT PG259QN,ZOWIE,SteelSeries,HyperX,ASUS
Jur3ky,Inked Gaming Custom Mousepad,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro,ASUS ROG STRIX XG248Q,Inked,SteelSeries,beyerdynamic,ASUS
Jyo,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
K1NG,The Mousepad Company Strata Liquid 03,SteelSeries Apex Pro TKL,HyperX Cloud II Wireless,ZOWIE XL2546,The,SteelSeries,HyperX,ZOWIE
K1nzell,The Mousepad Company Strata Liquid 03,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,ZOWIE XL2540,The,SteelSeries,Logitech,ZOWIE
KENSI,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud Alpha S,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
KRIMZ,Fnatic FOCUS 2,Fnatic miniSTREAK,Fnatic REACT+,ZOWIE XL2540,Fnatic,Fnatic,Fnatic,ZOWIE
KRYPTIX,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2,ZOWIE XL2540,Razer,Razer,Razer,ZOWIE
Kalios,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Corsair Void Pro,ASUS ROG STRIX XG248Q,SteelSeries,Logitech,Corsair,ASUS
Kamo,unknown,unknown,SteelSeries Arctis Pro Wireless,ASUS ROG SWIFT PG258Q,unknown,unknown,SteelSeries,ASUS
Kanpeki,Artisan Ninja FX Zero Soft,Custom Keyboard,Razer BlackShark V2 Pro,ZOWIE XL2546 Divina Pink,Artisan,Custom,Razer,ZOWIE
KarQ,HyperX Fury S Pro,Keychron K4,EPOS H6PRO White,Acer Predator XN3,HyperX,Keychron,EPOS,Acer
Kaze,X-raypad Aqua Control+,Corsair K70 RGB MK.2,HyperX Cloud Flight,ZOWIE XL2546K,X-raypad,Corsair,HyperX,ZOWIE
