ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
ImperialHal,Philip Dosen,23,20-24,1999-05-31,United States,NA,TSM,Apex,1.0,Logitech G Pro X Superlight,Logitech,1.1,1000.0,800.0,880.0000000000001,Artisan Hayate Otsu XSoft,Custom Keyboard,Sennheiser CX 300-II,ZOWIE XL2546K,Artisan,Custom,Sennheiser,ZOWIE
Zekken,Zachary Patrone,17,15-19,2005-03-19,United States,NA,Sentinels,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.175,1000.0,1600.0,890.4000000000001,Gamesense Radar,Wooting 60 HE,unknown,ZOWIE XL2546,Gamesense,Wooting,unknown,ZOWIE
koldamenta,Jose Luis Aranguren Herrero,29,25-29,1993-05-24,Spain,EU,KOI,VALORANT,3.18,Razer Deathadder V3 Pro White,Razer,0.3,1000.0,800.0,763.2,Logitech G640,Logitech G512,Logitech G Pro X Headset,ASUS ROG XG258Q,Logitech,Logitech,Logitech,ASUS
adverso,Benjamín Poblete,24,20-24,1998-03-13,Chile,SA,00Nation,VALORANT,3.18,Logitech G Pro X Superlight White,Logitech,0.5,1000.0,400.0,636.0,X-raypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless,unknown,X-raypad,Varmilo,HyperX,unknown
Sheydos,Bogdan Naumov,21,20-24,2001-10-01,Russia,EU,KOI,VALORANT,3.18,Logitech G Pro X Superlight White,Logitech,0.81,1000.0,400.0,1030.3200000000002,ZOWIE G-SR-SE,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,ZOWIE,Logitech,Logitech,ZOWIE
mimi,Michaela Lintrup,25,25-29,1997-07-02,Denmark,EU,G2 Gozen,VALORANT,3.18,Logitech G Pro X Superlight Magenta,Logitech,0.365,1000.0,800.0,928.5600000000001,Logitech G640,Logitech G512,Logitech G Pro X Wireless Headset,AOC AG254FG,Logitech,Logitech,Logitech,AOC
trexx,Nikita Cherednichenko,18,15-19,2004-04-24,Russia,EU,KOI,VALORANT,3.18,G-Wolves Hati-M,G-Wolves,0.226,1000.0,800.0,574.9440000000001,Esports Tiger LongTeng,Anne Pro 2,HyperX Cloud Alpha S,ZOWIE XL2546K,Esports,Anne,HyperX,ZOWIE
Viss,Colton Visser,28,25-29,1994-08-22,United States,NA,TSM,Apex,1.0,Logitech G Pro Wireless,Logitech,2.3,1000.0,400.0,919.9999999999999,Logitech G640 TSM Edition,Logitech G Pro Keyboard,ASTRO A40,ASUS ROG SWIFT PG258Q,Logitech,Logitech,ASTRO,ASUS
chocoTaco,Jake Throop,34,30-34,1988-09-22,United States,NA,TSM,Apex,1.0,Logitech G703,Logitech,1.4,1000.0,800.0,1120.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,Acer Predator XB241H,Logitech,Logitech,Logitech,Acer
wippie,Maxim Shepelev,23,20-24,1999-05-31,Russia,EU,G2 Esports,VALORANT,3.18,ZOWIE EC1,ZOWIE,1.572,1000.0,800.0,3999.1680000000006,Artisan Ninja FX Zero XSoft,HyperX Alloy Origins,Logitech G Pro X Wireless Headset,ZOWIE XL2546K,Artisan,HyperX,Logitech,ZOWIE
Apryze,Anthony Andrade,23,20-24,1999-01-19,United States,NA,NRG,Apex,1.0,Finalmouse Ultralight 2,Finalmouse,1.0,1000.0,1600.0,1600.0,ZOWIE G-SR-SE Divina Pink,Custom Keyboard,unknown,ASUS ROG SWIFT PG259QN,ZOWIE,Custom,unknown,ASUS
byali,Paweł Bieliński,28,25-29,1994-04-30,Poland,EU,UNGENTIUM,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.7,4000.0,400.0,680.0,Logitech G640,Xtrfy K4 TKL RGB,Sennheiser GAME ZERO,ASUS ROG SWIFT PG259QN,Logitech,Xtrfy,Sennheiser,ASUS
honda,Lucas Cano,22,20-24,2000-07-21,Brazil,SA,Case Esports,CS:GO,1.0,ZOWIE S2 Divina Blue,ZOWIE,1.2,1000.0,400.0,480.0,VAXEE PA FunSpark,HyperX Alloy Origins Core,HyperX Cloud II,Alienware AW2518H,VAXEE,HyperX,HyperX,Alienware
fox,Ricardo Pacheco,36,35-39,1986-11-15,Portugal,EU,Fourteen Esports,CS:GO,1.0,ZOWIE S2 Divina Pink,ZOWIE,4.7,1000.0,400.0,1880.0,Custom Mousepad,Ozone Gaming Strike Pro,HyperX Cloud II,ZOWIE XL2546,Custom,Ozone,HyperX,ZOWIE
DD,Wu Hui,28,25-29,1994-08-11,China,AS,Free Agent,CS:GO,1.0,ZOWIE S2 Divina Pink,ZOWIE,2.4,1000.0,400.0,960.0,ZOWIE G-SR,unknown,unknown,ZOWIE XL2546,ZOWIE,unknown,unknown,ZOWIE
adreN,Eric Hoag,32,30-34,1990-04-26,United States,NA,Team Liquid,CS:GO,1.0,Logitech G Pro Wireless,Logitech,2.25,1000.0,400.0,900.0,Razer Gigantus,Razer Huntsman Elite,HyperX Cloud II,ZOWIE XL2540,Razer,Razer,HyperX,ZOWIE
Kvem,Vladyslav Korol,21,20-24,2001-08-29,Ukraine,EU,IKLA,CS:GO,1.0,Logitech G Pro X Superlight Magenta,Logitech,3.0,1000.0,400.0,1200.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ASUS ROG STRIX XG248Q,Logitech,Logitech,Logitech,ASUS
neaLaN,Sanzhar Iskhakov,22,20-24,2000-08-06,Kazakhstan,AS,Evil Geniuses,CS:GO,1.0,Razer Deathadder V3 Pro White,Razer,2.0,1000.0,400.0,800.0,VAXEE PA FunSpark,Razer Huntsman V2 TKL,HyperX Cloud II,ZOWIE XL2546,VAXEE,Razer,HyperX,ZOWIE
tudsoN,Filip Tudev,22,20-24,2000-03-10,Poland,EU,Free Agent,CS:GO,1.0,Logitech G Pro Wireless,Logitech,2.0,1000.0,400.0,800.0,VAXEE PA OUTSET,Logitech G915 TKL,HyperX Cloud II Wireless,ZOWIE XL2546,VAXEE,Logitech,HyperX,ZOWIE
Lucky,Philip Ewald,20,20-24,2002-12-13,Denmark,EU,Tricked Esport,CS:GO,1.0,SteelSeries Rival 300,SteelSeries,0.7,1000.0,1600.0,1120.0,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
LUCAS1,Lucas Teles,27,25-29,1995-07-14,Brazil,SA,Free Agent,CS:GO,1.0,ZOWIE EC2-A White,ZOWIE,2.2,1000.0,400.0,880.0000000000001,Razer Gigantus,Razer BlackWidow X Chroma Mercury,Razer Kraken 7.1 Mercury White Edition,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
xsepower,Bogdan Chernikov,24,20-24,1998-02-26,Russia,EU,Nemiga Gaming,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,2.2,500.0,400.0,880.0000000000001,ZOWIE G-SR,SteelSeries Apex M750,HyperX Cloud Alpha,ZOWIE XL2546,ZOWIE,SteelSeries,HyperX,ZOWIE
Freeman,WinghEi Cheung,23,20-24,1999-07-25,Hong Kong,AS,TyLoo,CS:GO,1.0,ZOWIE FK1,ZOWIE,2.2,1000.0,400.0,880.0000000000001,ZOWIE G-SR-SE TyLoo Edition,SteelSeries Apex Pro TKL,HyperX Cloud Flight,ZOWIE XL2546,ZOWIE,SteelSeries,HyperX,ZOWIE
Walco,Colby Walsh,21,20-24,2001-11-12,Canada,NA,Evil Geniuses,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.55,1000.0,400.0,620.0,ZOWIE G-SR,Ducky One 3 Mini Pure White,Sennheiser GAME ZERO,ZOWIE XL2546K,ZOWIE,Ducky,Sennheiser,ZOWIE
steel,Lucas Lopes,29,25-29,1993-11-19,Brazil,SA,Case Esports,CS:GO,1.0,SteelSeries Sensei Ten,SteelSeries,1.6,1000.0,400.0,640.0,SteelSeries QcK Heavy,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546,SteelSeries,Logitech,Logitech,ZOWIE
JamYoung,Yi Yang,21,20-24,2001-07-23,China,AS,Rare Atom,CS:GO,1.0,ZOWIE EC2,ZOWIE,2.2,1000.0,400.0,880.0000000000001,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,HyperX Cloud Flight,ZOWIE XL2546K,SteelSeries,Logitech,HyperX,ZOWIE
MAJ3R,Engin Kupeli,31,30-34,1991-01-25,Turkey,AS,Eternal Fire,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.8,1000.0,400.0,720.0,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
wiz,Jerric Jiang,21,20-24,2001-02-21,United States,NA,Evil Geniuses,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0,HyperX Fury S Pro,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,HyperX,Logitech,HyperX,ZOWIE
tenzki,Jesper Mikalski,28,25-29,1994-06-25,Denmark,EU,Free Agent,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.8,1000.0,400.0,720.0,ZOWIE G-SR-SE,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2546 Divina Blue,ZOWIE,Xtrfy,HyperX,ZOWIE
Nifty,Noah Francis,25,25-29,1997-11-23,United States,NA,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.2,500.0,400.0,880.0000000000001,SteelSeries QcK Heavy,Corsair K70 RGB,Corsair Void Pro White,ZOWIE XL2546,SteelSeries,Corsair,Corsair,ZOWIE
Maniac,Mathieu Quiquerez,32,30-34,1990-06-29,Switzerland,EU,Content Creator,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.05,1000.0,800.0,840.0,Logitech G640,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
stanislaw,Peter Jarguz,25,25-29,1997-12-28,Canada,NA,Evil Geniuses,CS:GO,1.0,Razer Viper Ultimate,Razer,2.5,1000.0,400.0,1000.0,ZOWIE G-SR,HyperX Alloy FPS,Razer Kraken Pro V2,ZOWIE XL2546,ZOWIE,HyperX,Razer,ZOWIE
JDC,Jon de Castro,22,20-24,2000-04-07,Germany,EU,MOUZ,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.1,1000.0,400.0,840.0,Razer Gigantus V2 MOUZ,Razer BlackWidow V3 Pro,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
Buzz,Christian Møss Andersen,19,15-19,2003-03-14,Denmark,EU,Astralis,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,0.42,1000.0,2300.0,966.0,Logitech G640,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2546K,Logitech,Logitech,HyperX,ZOWIE
meyern,Ignacio Meyer,20,20-24,2002-09-10,Argentina,SA,Isurus,CS:GO,1.0,ZOWIE EC1-B,ZOWIE,2.5,1000.0,400.0,1000.0,ZOWIE G-SR,Razer BlackWidow V3 TKL,HyperX Cloud II,ZOWIE XL2546,ZOWIE,Razer,HyperX,ZOWIE
v1c7oR,Viktor Dyankov,28,25-29,1994-07-28,Bulgaria,EU,K1CK,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,0.64,1000.0,800.0,512.0,Logitech G640,Logitech G512,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
h4rn,Deyvid Benchev,22,20-24,2000-06-07,Bulgaria,EU,Enterprise Esports,CS:GO,1.0,VAXEE ZYGEN NP-01,VAXEE,2.05,1000.0,400.0,819.9999999999999,HyperX Fury S Speed Edition,HyperX Alloy Origins,HyperX Cloud Alpha S,ZOWIE XL2546K,HyperX,HyperX,HyperX,ZOWIE
REDSTAR,Hristiyan Pironkov,21,20-24,2001-08-15,Bulgaria,EU,Free Agent,CS:GO,1.0,VAXEE ZYGEN NP-01S Glossy,VAXEE,2.0,1000.0,400.0,800.0,Corsair MM350 Champion Series,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,Corsair,HyperX,HyperX,ZOWIE
speed4k,Anton Titov,26,25-29,1996-06-04,Russia,EU,Free Agent,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,2.0,1000.0,400.0,800.0,ZOWIE G-SR-SE Dark Grey,HyperX Alloy Elite,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
allu,Aleksi Jalli,30,30-34,1992-05-20,Finland,EU,JANO Esports,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,3.0,1000.0,400.0,1200.0,Logitech G640 ENCE Edition,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
aizy,Philip Aistrup,26,25-29,1996-06-04,Denmark,EU,Tokyo Revengers,CS:GO,1.0,ZOWIE S2 Divina Blue,ZOWIE,2.2,1000.0,400.0,880.0000000000001,ZOWIE G-SR,HyperX Alloy FPS,Sennheiser GSP 600,ZOWIE XL2546,ZOWIE,HyperX,Sennheiser,ZOWIE
denis,Denis Howell,28,25-29,1994-08-18,Germany,EU,Free Agent,CS:GO,1.0,VAXEE ZYGEN NP-01,VAXEE,1.6,1000.0,400.0,640.0,Corsair MM100,Ducky One 2,Corsair Void RGB Elite White,ZOWIE XL2540,Corsair,Ducky,Corsair,ZOWIE
XigN,Hyun-pyo Lee,25,25-29,1997-03-26,South Korea,AS,Team NKT,CS:GO,1.0,SteelSeries Rival 110,SteelSeries,2.2,1000.0,400.0,880.0000000000001,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud Revolver S,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
balblna,Gregory Oleinick,26,25-29,1996-01-15,Russia,EU,Free Agent,CS:GO,1.0,ZOWIE EC1-A,ZOWIE,3.0,1000.0,400.0,1200.0,ZOWIE G-SR-SE,Ozone Gaming Strike Battle,Sennheiser GSP 600,ZOWIE XL2546,ZOWIE,Ozone,Sennheiser,ZOWIE
mds,Aleksandr Rubets,24,20-24,1998-08-13,Belarus,EU,Websterz,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.01,1000.0,400.0,803.9999999999999,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
Dosia,Mikhail Stolyarov,34,30-34,1988-06-19,Russia,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,2.8,1000.0,400.0,1120.0,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,Logitech G Pro X Headset,ZOWIE XL2540,SteelSeries,HyperX,Logitech,ZOWIE
mou,Rüstem Tlepov,31,30-34,1991-10-17,Kazakhstan,AS,Free Agent,CS:GO,1.0,VAXEE ZYGEN NP-01,VAXEE,2.7,1000.0,400.0,1080.0,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2540,SteelSeries,Logitech,Logitech,ZOWIE
AdreN,Dauren Kystaubayev,32,30-34,1990-02-04,Kazakhstan,AS,Free Agent,CS:GO,1.0,Xtrfy M4,Xtrfy,1.1,1000.0,800.0,880.0000000000001,SteelSeries QcK Heavy,Lenovo Legion K500,Lenovo Legion H500 Pro,ZOWIE XL2546,SteelSeries,Lenovo,Lenovo,ZOWIE
SANJI,Sanjar Kuliev,24,20-24,1998-11-18,Uzbekistan,AS,Virtus.pro,CS:GO,1.0,Xtrfy M4,Xtrfy,1.22,1000.0,400.0,488.0,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
MODDII,Andreas Fridh,33,30-34,1989-07-18,Sweden,EU,Astralis Talent,CS:GO,1.0,ZOWIE EC1-A,ZOWIE,2.2,500.0,400.0,880.0000000000001,ZOWIE G-SR-SE,Xtrfy K2 RGB,Sennheiser GAME ZERO,ZOWIE XL2546,ZOWIE,Xtrfy,Sennheiser,ZOWIE
Bubzkji,Lucas Andersen,24,20-24,1998-07-03,Denmark,EU,Free Agent,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.5,500.0,400.0,600.0,SteelSeries QcK Heavy,Xtrfy K2 RGB,Logitech G Pro X Headset,ZOWIE XL2546K,SteelSeries,Xtrfy,Logitech,ZOWIE
USTILO,Karlo Pivac,29,25-29,1993-08-10,Australia,OC,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,Alienware AW2521HF,Logitech,Logitech,Logitech,Alienware
Sonic,Aran Groesbeek,24,20-24,1998-12-02,South Africa,AF,Free Agent,CS:GO,1.0,Glorious Model D,Glorious,2.5,1000.0,400.0,1000.0,SteelSeries QcK+,HyperX Alloy FPS Pro,HyperX Cloud II,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
kressy,Marko Đorđević,26,25-29,1996-07-19,Germany,EU,Free Agent,CS:GO,1.0,ZOWIE S1,ZOWIE,1.1,1000.0,800.0,880.0000000000001,ZOWIE G-SR,Ducky One 2,Sennheiser GSP 600,ZOWIE XL2546,ZOWIE,Ducky,Sennheiser,ZOWIE
fl0m,Erik Flom,30,30-34,1992-09-14,United States,NA,Mythic,CS:GO,1.0,SteelSeries Prime Wireless,SteelSeries,1.5,1000.0,800.0,1200.0,SteelSeries QcK Heavy,SteelSeries Apex M750,SteelSeries Arctis Nova Pro,Samsung Odyssey G7,SteelSeries,SteelSeries,SteelSeries,Samsung
dennis,Dennis Edman,31,30-34,1991-01-07,Sweden,EU,Free Agent,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,2.0,1000.0,400.0,800.0,Razer Gigantus Elite,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,ASUS ROG SWIFT PG259QN,Razer,Razer,Razer,ASUS
bondik,Vlаdуslаv Nеchуроrchuk,29,25-29,1993-07-02,Ukraine,EU,Free Agent,CS:GO,1.0,Razer Deathadder 2013,Razer,2.5,1000.0,1800.0,4500.0,SteelSeries QcK Heavy,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2546,SteelSeries,Xtrfy,HyperX,ZOWIE
sycrone,Dennis Nielsen,26,25-29,1996-02-11,Denmark,EU,MOUZ,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,1.8,1000.0,400.0,720.0,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,HyperX,HyperX,ZOWIE
EspiranTo,Rokas EspiranTo,21,20-24,2001-04-12,Lithuania,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.55,1000.0,400.0,620.0,Logitech G640,Logitech G Pro X Keyboard,Xtrfy H1,ZOWIE XL2540,Logitech,Logitech,Xtrfy,ZOWIE
NaToSaphiX,Niels Christian Sillassen,26,25-29,1996-08-17,Denmark,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.0,1000.0,800.0,800.0,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,ZOWIE XL2566K,SteelSeries,SteelSeries,Logitech,ZOWIE
oBo,Owen Schlatter,19,15-19,2003-06-26,United States,NA,Free Agent,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,2.2,1000.0,400.0,880.0000000000001,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,HyperX Cloud II,ZOWIE XL2546,SteelSeries,HyperX,HyperX,ZOWIE
HS,Kevin Tarn,26,25-29,1996-12-15,Estonia,EU,Free Agent,CS:GO,1.0,ZOWIE FK2,ZOWIE,2.4,1000.0,400.0,960.0,SteelSeries QcK Heavy,Womier K66,HyperX Cloud II,ZOWIE XL2546K,SteelSeries,Womier,HyperX,ZOWIE
Edward,Ioann Sukhariev,35,35-39,1987-12-28,Ukraine,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,HyperX Cloud Flight,ZOWIE XL2540,SteelSeries,HyperX,HyperX,ZOWIE
Xizt,Richard Landström,31,30-34,1991-02-22,Sweden,EU,Heroic,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,3.0,1000.0,400.0,1200.0,HyperX Fury S Speed Edition,HyperX Alloy Origins Core,HyperX Cloud Alpha,ZOWIE XL2540,HyperX,HyperX,HyperX,ZOWIE
MICHU,Michał Müller,26,25-29,1996-12-29,Poland,EU,Benched Heroes,CS:GO,1.0,Razer Deathadder V3 Pro,Razer,0.47,1000.0,800.0,376.0,ZOWIE G-SR,Razer BlackWidow V3 TKL,EPOS H6PRO White,ZOWIE XL2546K,ZOWIE,Razer,EPOS,ZOWIE
doto,Joonas Forss,26,25-29,1996-02-18,Finland,EU,HAVU,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,0.72,1000.0,800.0,576.0,Logitech G640 ENCE Edition,Logitech G Pro Keyboard,Logitech G Pro X Headset,ASUS ROG SWIFT PG259QN,Logitech,Logitech,Logitech,ASUS
keiz,Ruann Rotondano,21,20-24,2001-07-22,Brazil,SA,Team oNe eSports,CS:GO,1.0,SteelSeries Prime Wireless,SteelSeries,1.8,1000.0,400.0,720.0,ZOWIE G-SR,HyperX Alloy Origins,HyperX Cloud Alpha,ZOWIE XL2546K,ZOWIE,HyperX,HyperX,ZOWIE
waterfaLLZ,Nikita Matveyev,27,25-29,1995-06-18,Russia,EU,Free Agent,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,0.9,1000.0,1600.0,1440.0,unknown,Razer Blackwidow TE,Sennheiser GSP 600,ZOWIE XL2546,unknown,Razer,Sennheiser,ZOWIE
Senoxe,Adam Lau,23,20-24,1999-08-10,Canada,NA,Sentinels,Apex,1.0,Finalmouse Ultralight 2,Finalmouse,1.2,1000.0,800.0,960.0,Artisan Ninja FX Shidenkai XSoft,Custom Keyboard,Apple EarPods,ZOWIE XL2546K,Artisan,Custom,Apple,ZOWIE
kRYSTAL,Kevin Amend,29,25-29,1993-07-23,Germany,EU,Free Agent,CS:GO,1.0,Logitech MX518 HERO,Logitech,1.5,1000.0,800.0,1200.0,SteelSeries QcK Heavy,QPAD MK-80,HyperX Cloud II,ZOWIE XL2546,SteelSeries,QPAD,HyperX,ZOWIE
gAuLeS,Alexandre Chiqueta,39,35-39,1983-12-02,Brazil,SA,Content Creator,CS:GO,1.0,Razer Viper Ultimate,Razer,2.2,1000.0,400.0,880.0000000000001,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2,ZOWIE XL2546,Razer,Razer,Razer,ZOWIE
hutji,Pavel Lashkov,27,25-29,1995-09-13,Russia,EU,Free Agent,CS:GO,1.0,ZOWIE ZA12,ZOWIE,1.1,1000.0,800.0,880.0000000000001,ZOWIE G-SR,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,ZOWIE,HyperX,HyperX,ZOWIE
bit,Bruno Lima,32,30-34,1990-07-16,Brazil,SA,MIBR,CS:GO,1.0,ZOWIE EC2-B,ZOWIE,2.3,1000.0,400.0,919.9999999999999,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546K,Logitech,Logitech,Logitech,ZOWIE
ISSAA,Issa Murad,26,25-29,1996-12-23,Jordan,AS,Free Agent,CS:GO,1.0,ZOWIE EC2,ZOWIE,2.8,1000.0,400.0,1120.0,ZOWIE G-SR-SE Dark Grey,Xtrfy K2 RGB,HyperX Cloud II,ZOWIE XL2540,ZOWIE,Xtrfy,HyperX,ZOWIE
kyxsan,Damjan Stoilkovski,22,20-24,2000-05-26,North Macedonia,EU,Apeks,CS:GO,1.0,Logitech G Pro X Superlight White,Logitech,2.4,1000.0,400.0,960.0,VAXEE PA ZYGEN,HyperX Alloy Origins Core,Logitech G Pro X Headset,ZOWIE XL2546K,VAXEE,HyperX,Logitech,ZOWIE
smooya,Owen Butterfield,23,20-24,1999-08-16,United Kingdom,EU,Benched Heroes,CS:GO,1.0,Razer DeathAdder Elite,Razer,1.8,1000.0,400.0,720.0,SteelSeries QcK+,Logitech G Pro X Keyboard,HyperX Cloud II,ZOWIE XL2540,SteelSeries,Logitech,HyperX,ZOWIE
KrizzeN,Aidyn Turlybekov,23,20-24,1999-09-24,Kazakhstan,AS,Free Agent,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,2.2,1000.0,400.0,880.0000000000001,ZOWIE G-SR,Razer Blackwidow Chroma TE V2,HyperX Cloud II,ZOWIE XL2540,ZOWIE,Razer,HyperX,ZOWIE
emi,Luka Vukovic,29,25-29,1993-09-05,Serbia,EU,Partizan Esports,CS:GO,1.0,ZOWIE EC2-B Divina Blue,ZOWIE,1.77,1000.0,400.0,708.0,ZOWIE G-SR-SE Deep Blue,Xtrfy K2 RGB,HyperX Cloud Flight S,ZOWIE XL2546K,ZOWIE,Xtrfy,HyperX,ZOWIE
phr,Tomasz Wójcik,26,25-29,1996-09-26,Poland,EU,AGO,CS:GO,1.0,VAXEE OUTSET AX,VAXEE,0.75,1000.0,800.0,600.0,ZOWIE G-SR-SE,Logitech G915 TKL,Logitech G Pro X Headset,ZOWIE XL2546,ZOWIE,Logitech,Logitech,ZOWIE
morelz,Piotr Taterka,28,25-29,1994-07-28,Poland,EU,Illuminar,CS:GO,1.0,Glorious Model O White,Glorious,0.71,1000.0,800.0,568.0,ZOWIE G-SR-SE Divina Blue,Logitech G513,Sennheiser GAME ZERO,ZOWIE XL2540,ZOWIE,Logitech,Sennheiser,ZOWIE
mouz,Mikołaj Karolewski,27,25-29,1995-10-25,Poland,EU,Free Agent,CS:GO,1.0,ZOWIE EC2-A,ZOWIE,1.7,1000.0,400.0,680.0,unknown,unknown,Sennheiser PC 360,ZOWIE XL2540,unknown,unknown,Sennheiser,ZOWIE
GruBy,Dominik Świderski,27,25-29,1995-02-28,Poland,EU,UNGENTIUM,CS:GO,1.0,Razer Viper Ultimate,Razer,1.7,1000.0,400.0,680.0,Razer Gigantus,Razer Huntsman TE,Razer Kraken Pro V2,ZOWIE XL2540,Razer,Razer,Razer,ZOWIE
seized,Denis Kostin,28,25-29,1994-09-09,Russia,EU,9 Pandas,CS:GO,1.0,VAXEE OUTSET AX,VAXEE,2.1,1000.0,400.0,840.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546,Logitech,Logitech,Logitech,ZOWIE
GuardiaN,Ladislav Kovács,31,30-34,1991-07-09,Slovakia,EU,Free Agent,CS:GO,1.0,Logitech G Pro X Superlight,Logitech,1.5,1000.0,400.0,600.0,Razer Gigantus V2,HyperX Alloy Origins,Logitech G Pro X Wireless Headset,ZOWIE XL2546 Divina Blue,Razer,HyperX,Logitech,ZOWIE
xertioN,Dorian Berman,18,15-19,2004-07-22,Israel,AS,MOUZ,CS:GO,1.0,ZOWIE EC1-C,ZOWIE,2.2,1000.0,400.0,880.0000000000001,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2,ZOWIE XL2546K,Razer,Razer,Razer,ZOWIE
kolor,Ádám Domoszlay,23,20-24,1999-10-26,Hungary,EU,Free Agent,CS:GO,1.0,ZOWIE S1,ZOWIE,1.1,1000.0,800.0,880.0000000000001,unknown,Xtrfy K4 RGB,Sennheiser GSP 600,ZOWIE XL2540,unknown,Xtrfy,Sennheiser,ZOWIE
