ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio,mouse,mouse_brand,sense,hz,dpi,edpi,mousepad,keyboard,headset,monitor,mousepad_brand,keyboard_brand,headset_brand,monitor_brand
Aunkere,Eugene Karyat,21,20-24,2001-08-21,Russia,EU,Benched Heroes,CS:GO,1.0,Logitech G703,Logitech,2.1,1000.0,500.0,1050.0,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ZOWIE XL2546 Divina Blue,Logitech,Logitech,Logitech,ZOWIE
Enzo,Enzo Mestari,26,25-29,1996-06-12,France,EU,Free Agent,VALORANT,3.18,Logitech G Pro X Superlight,Logitech,0.5,1000.0,800.0,1272.0,VAXEE PA Black,Razer Huntsman V2,HyperX Cloud II Gun Metal,ZOWIE XL2546,VAXEE,Razer,HyperX,ZOWIE
Leo,Leo Jannesson,19,15-19,2003-12-15,Sweden,EU,Fnatic,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.41,1000.0,400.0,521.52,HyperX Fury S Pro,unknown,unknown,unknown,HyperX,unknown,unknown,unknown
b0i,Aaron Thao,26,25-29,1996-11-09,United States,NA,Free Agent,VALORANT,3.18,Logitech G303 Shroud Edition,Logitech,0.455,1000.0,1600.0,2315.04,VAXEE PA ZYGEN,Ducky One 2,HyperX Cloud II,ZOWIE XL2540,VAXEE,Ducky,HyperX,ZOWIE
Kyedae,Kyedae Shymko,21,20-24,2001-12-01,Canada,NA,100 Thieves,VALORANT,3.18,FinalMouse Starlight-12,FinalMouse,0.4,1000.0,800.0,1017.6,HyperX Fury S Pro,Custom Keyboard,Xtrfy H2,ZOWIE XL2540,HyperX,Custom,Xtrfy,ZOWIE
pAura,Melih Karaduran,25,25-29,1997-10-27,Turkey,AS,Team Heretics,VALORANT,3.18,ZOWIE S2,ZOWIE,0.55,1000.0,400.0,699.6000000000001,HyperX Fury S Pro,HyperX Alloy FPS Pro,Logitech G Pro X Wireless Headset,ZOWIE XL2546,HyperX,HyperX,Logitech,ZOWIE
d3ffo,Nikita Sudakov,21,20-24,2001-10-10,Russia,EU,Free Agent,VALORANT,3.18,VAXEE ZYGEN NP-01,VAXEE,0.51,1000.0,800.0,1297.44,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Sennheiser GAME ZERO,ZOWIE XL2546,VAXEE,Logitech,Sennheiser,ZOWIE
Alfajer,Emir Ali Beder,17,15-19,2005-06-10,Turkey,AS,Fnatic,VALORANT,3.18,Razer Deathadder V3 Pro,Razer,0.45,1000.0,400.0,572.4,Zowie G-SR-SE Rouge,HyperX Alloy Origins Core,unknown,Alienware AW2521H,Zowie,HyperX,unknown,Alienware
Mazino,Roberto Francisco Rivas Bugueño,21,20-24,2001-06-29,Chile,SA,Leviatan,VALORANT,3.18,Logitech G703,Logitech,0.22,1000.0,1600.0,1119.3600000000001,Artisan Ninja FX Zero Soft,Razer Huntsman TE,HyperX Cloud Flight,ZOWIE XL2546K,Artisan,Razer,HyperX,ZOWIE
Shao,Andrey Kiprsky,22,20-24,2000-01-27,Russia,EU,Natus Vincere,VALORANT,3.18,Xtrfy M4 Wireless,Xtrfy,0.428,1000.0,400.0,544.4159999999999,VAXEE PA Black,HyperX Alloy FPS,HyperX Cloud II,ZOWIE XL2546,VAXEE,HyperX,HyperX,ZOWIE
Rogue,Tanner Trebb,27,25-29,1995-11-29,Canada,NA,NRG,Apex,1.0,FinalMouse Starlight-12,FinalMouse,2.1,1000.0,400.0,840.0,HyperX Fury S Speed Edition,Ducky One 2 Mini,Sennheiser GAME ZERO,ASUS ROG SWIFT PG259QN,HyperX,Ducky,Sennheiser,ASUS
Victor,Victor Wong,26,25-29,1996-09-14,United States,NA,NRG,VALORANT,3.18,Logitech G703,Logitech,0.283,1000.0,800.0,719.952,Zowie G-SR-SE Rouge,Razer BlackWidow V3 TKL,Razer BlackShark V2,ZOWIE XL2566K,Zowie,Razer,Razer,ZOWIE
