ign,mouse,mouse_brand,sense,hz,dpi,edpi
JUST,VAXEE ZYGEN NP-01S,VAXEE,1.9,1000.0,400.0,760.0
hardzao,Logitech G Pro X Superlight,Logitech,2.0,1000.0,400.0,800.0
Dizzy,FinalMouse Starlight-12,FinalMouse,0.35,1000.0,800.0,280.0
shinobi,ZOWIE EC2-B Divina Blue,ZOWIE,0.65,1000.0,400.0,260.0
psalm,Logitech G Pro X Superlight,Logitech,0.955,1000.0,800.0,764.0
rpr,Finalmouse Ultralight 2,Finalmouse,1.2,1000.0,800.0,960.0
Nocturnal,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0
LiNkzr,Logitech G Pro X Superlight,Logitech,1.5,1000.0,800.0,1200.0
ZmjjKK,VAXEE NP-01S Pink,VAXEE,0.28,1000.0,800.0,224.00000000000003
Yuki,Razer Viper V2 Pro,Razer,1.5,1000.0,800.0,1200.0
aproto,Razer Deathadder V3 Pro,Razer,0.31,1000.0,800.0,248.0
Klaus,Razer Viper V2 Pro,Razer,0.5,1000.0,800.0,400.0
Crylix,Logitech G Pro X Superlight,Logitech,1.1,1000.0,800.0,880.0000000000001
SEIDER,Logitech G Pro Wireless,Logitech,0.15,1000.0,1600.0,240.0
Russ,Logitech G Pro X Superlight,Logitech,0.38,1000.0,800.0,304.0
dooplex,Logitech G303 Shroud Edition,Logitech,1.5,1000.0,800.0,1200.0
Genburten,Razer Viper Ultimate,Razer,1.5,1000.0,800.0,1200.0
kiNgg,Logitech G Pro X Superlight,Logitech,0.27,1000.0,800.0,216.0
YukaF,Xtrfy M42,Xtrfy,1.2,1000.0,800.0,960.0
Lothar,Logitech G Pro Wireless,Logitech,0.2,1000.0,1600.0,320.0
SkittleCakes,Logitech G Pro Wireless,Logitech,2.7,1000.0,1600.0,4320.0
ErycTriceps,Logitech G Pro X Superlight White,Logitech,0.314,1000.0,400.0,125.6
DaZeD,Logitech G Pro Wireless,Logitech,0.55,1000.0,400.0,220.00000000000003
al0rante,Razer Viper V2 Pro,Razer,0.35,1000.0,400.0,140.0
Derke,Logitech G Pro X Superlight,Logitech,0.74,1000.0,400.0,296.0
Surf,Razer Deathadder V3 Pro,Razer,0.375,1000.0,800.0,300.0
BONECOLD,Razer Deathadder V3 Pro,Razer,0.27,1000.0,800.0,216.0
starxo,Logitech G Pro X Superlight,Logitech,0.48,1000.0,800.0,384.0
frttt,ZOWIE EC2,ZOWIE,0.755,1000.0,1600.0,1208.0
Davidp,Logitech G Pro Wireless,Logitech,0.58,1000.0,400.0,231.99999999999997
seb,Xtrfy M4 Miami Blue,Xtrfy,0.42,1000.0,400.0,168.0
zombs,Logitech G Pro X Superlight,Logitech,0.54,1000.0,400.0,216.0
Horcus,Razer Viper Ultimate,Razer,0.315,1000.0,800.0,252.0
ec1s,VAXEE ZYGEN NP-01,VAXEE,0.314,1000.0,800.0,251.2
Corey,Logitech G Pro X Superlight,Logitech,0.321,1000.0,800.0,256.8
ZachaREEE,FinalMouse Starlight-12,FinalMouse,0.52,1000.0,800.0,416.0
aimdll,ZOWIE S2 Divina Pink,ZOWIE,0.49,1000.0,400.0,196.0
paTiTek,Logitech G Pro X Superlight,Logitech,0.82,1000.0,400.0,328.0
JonahP,Razer Viper Ultimate,Razer,0.5,1000.0,400.0,200.0
Boaster,Logitech G Pro X Superlight White,Logitech,0.52,1000.0,400.0,208.0
Nadeshot,Logitech G Pro X Superlight,Logitech,0.2,1000.0,800.0,160.0
POACH,Logitech G Pro X Superlight,Logitech,0.28,1000.0,800.0,224.00000000000003
Thwifo,Logitech G Pro Wireless,Logitech,0.28,1000.0,800.0,224.00000000000003
Symfuhny,Finalmouse Starlight-12 Hades,Finalmouse,6.0,500.0,800.0,4800.0
Cloakzy,Razer Viper 8KHz,Razer,11.59,1000.0,400.0,4636.0
timthetatman,HyperX Pulsefire Haste,HyperX,3.93,1000.0,800.0,3144.0
Noko,Logitech G Pro X Superlight,Logitech,1.5,1000.0,800.0,1200.0
Hardecki,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0
Flanker,Logitech G703,Logitech,1.3,1000.0,800.0,1040.0
Shiv,Logitech G Pro X Superlight,Logitech,3.0,1000.0,400.0,1200.0
Diegosaurs,Logitech G Pro X Superlight,Logitech,0.9,500.0,1600.0,1440.0
Sweet,Finalmouse Starlight-12 Hades,Finalmouse,1.2,1000.0,800.0,960.0
stormen,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0
Mande,ZOWIE EC1,ZOWIE,1.5,1000.0,800.0,1200.0
HisWattson,Razer Viper Ultimate,Razer,2.4,1000.0,450.0,1080.0
Mendo,Logitech G Pro X Superlight White,Logitech,0.55,1000.0,450.0,247.50000000000003
Reps,Logitech G305,Logitech,1.8,1000.0,400.0,720.0
Albralelie,Logitech G Pro X Superlight,Logitech,1.8,1000.0,800.0,1440.0
HAL,Glorious Model D,Glorious,2.3,1000.0,800.0,1839.9999999999998
rocker,FinalMouse Starlight-12,FinalMouse,1.1,1000.0,800.0,880.0000000000001
nafen,FinalMouse Starlight-12,FinalMouse,1.8,1000.0,800.0,1440.0
Dropped,Logitech G Pro X Superlight,Logitech,2.0,1000.0,400.0,800.0
9impulse,Logitech G Pro X Superlight,Logitech,1.4,1000.0,1600.0,2240.0
Huskerrs,Logitech G Pro X Superlight,Logitech,3.6,1000.0,800.0,2880.0
DrDisRespect,ROCCAT Kain 200 Aimo,ROCCAT,5.25,1000.0,400.0,2100.0
Crust,Finalmouse Starlight-12 Hades,Finalmouse,2.3,1000.0,400.0,919.9999999999999
Hakis,Razer Viper V2 Pro,Razer,1.2,1000.0,1600.0,1920.0
Monsoon,Logitech G Pro Wireless,Logitech,0.8,1000.0,800.0,640.0
Zachmazer,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0
