ign,mouse,mouse_brand,sense,hz,dpi,edpi
allu,Logitech G Pro X Superlight,Logitech,3.0,1000.0,400.0,1200.0
aizy,ZOWIE S2 Divina Blue,ZOWIE,2.2,1000.0,400.0,880.0000000000001
denis,VAXEE ZYGEN NP-01,VAXEE,1.6,1000.0,400.0,640.0
XigN,SteelSeries Rival 110,SteelSeries,2.2,1000.0,400.0,880.0000000000001
balblna,ZOWIE EC1-A,ZOWIE,3.0,1000.0,400.0,1200.0
mds,Logitech G Pro X Superlight,Logitech,2.01,1000.0,400.0,803.9999999999999
Dosia,Logitech G Pro X Superlight,Logitech,2.8,1000.0,400.0,1120.0
mou,VAXEE ZYGEN NP-01,VAXEE,2.7,1000.0,400.0,1080.0
AdreN,Xtrfy M4,Xtrfy,1.1,1000.0,800.0,880.0000000000001
SANJI,Xtrfy M4,Xtrfy,1.22,1000.0,400.0,488.0
MODDII,ZOWIE EC1-A,ZOWIE,2.2,500.0,400.0,880.0000000000001
Bubzkji,Razer Deathadder V3 Pro,Razer,1.5,500.0,400.0,600.0
USTILO,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0
Sonic,Glorious Model D,Glorious,2.5,1000.0,400.0,1000.0
kressy,ZOWIE S1,ZOWIE,1.1,1000.0,800.0,880.0000000000001
fl0m,SteelSeries Prime Wireless,SteelSeries,1.5,1000.0,800.0,1200.0
dennis,Razer Deathadder V3 Pro,Razer,2.0,1000.0,400.0,800.0
bondik,Razer Deathadder 2013,Razer,2.5,1000.0,1800.0,4500.0
sycrone,Razer Deathadder V3 Pro,Razer,1.8,1000.0,400.0,720.0
EspiranTo,Logitech G Pro X Superlight,Logitech,1.55,1000.0,400.0,620.0
NaToSaphiX,Logitech G Pro X Superlight,Logitech,1.0,1000.0,800.0,800.0
oBo,ZOWIE EC2-B Divina Blue,ZOWIE,2.2,1000.0,400.0,880.0000000000001
HS,ZOWIE FK2,ZOWIE,2.4,1000.0,400.0,960.0
Edward,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0
Xizt,ZOWIE EC2-A,ZOWIE,3.0,1000.0,400.0,1200.0
MICHU,Razer Deathadder V3 Pro,Razer,0.47,1000.0,800.0,376.0
doto,Logitech G Pro X Superlight White,Logitech,0.72,1000.0,800.0,576.0
keiz,SteelSeries Prime Wireless,SteelSeries,1.8,1000.0,400.0,720.0
waterfaLLZ,ZOWIE EC2-A,ZOWIE,0.9,1000.0,1600.0,1440.0
Senoxe,Finalmouse Ultralight 2,Finalmouse,1.2,1000.0,800.0,960.0
kRYSTAL,Logitech MX518 HERO,Logitech,1.5,1000.0,800.0,1200.0
gAuLeS,Razer Viper Ultimate,Razer,2.2,1000.0,400.0,880.0000000000001
hutji,ZOWIE ZA12,ZOWIE,1.1,1000.0,800.0,880.0000000000001
bit,ZOWIE EC2-B,ZOWIE,2.3,1000.0,400.0,919.9999999999999
ISSAA,ZOWIE EC2,ZOWIE,2.8,1000.0,400.0,1120.0
kyxsan,Logitech G Pro X Superlight White,Logitech,2.4,1000.0,400.0,960.0
smooya,Razer DeathAdder Elite,Razer,1.8,1000.0,400.0,720.0
KrizzeN,ZOWIE EC2-A,ZOWIE,2.2,1000.0,400.0,880.0000000000001
emi,ZOWIE EC2-B Divina Blue,ZOWIE,1.77,1000.0,400.0,708.0
phr,VAXEE OUTSET AX,VAXEE,0.75,1000.0,800.0,600.0
morelz,Glorious Model O White,Glorious,0.71,1000.0,800.0,568.0
mouz,ZOWIE EC2-A,ZOWIE,1.7,1000.0,400.0,680.0
GruBy,Razer Viper Ultimate,Razer,1.7,1000.0,400.0,680.0
seized,VAXEE OUTSET AX,VAXEE,2.1,1000.0,400.0,840.0
GuardiaN,Logitech G Pro X Superlight,Logitech,1.5,1000.0,400.0,600.0
xertioN,ZOWIE EC1-C,ZOWIE,2.2,1000.0,400.0,880.0000000000001
kolor,ZOWIE S1,ZOWIE,1.1,1000.0,800.0,880.0000000000001
CRUC1AL,Logitech G Pro X Superlight,Logitech,2.5,500.0,400.0,1000.0
rallen,Logitech G Pro Wireless,Logitech,1.2,500.0,1800.0,2160.0
draken,Logitech G Pro X Superlight,Logitech,1.9,1000.0,400.0,760.0
w0nderful,Logitech G Pro X Superlight White,Logitech,3.09,1000.0,400.0,1236.0
nqz,Logitech G Pro X Superlight,Logitech,1.2,1000.0,800.0,960.0
Nertz,ZOWIE EC3-C,ZOWIE,2.9,1000.0,400.0,1160.0
clax,ZOWIE EC2-B,ZOWIE,2.2,1000.0,400.0,880.0000000000001
ztr,ZOWIE EC2-B,ZOWIE,1.75,1000.0,400.0,700.0
Lobanjica,ZOWIE EC1 Tyloo,ZOWIE,1.7,1000.0,800.0,1360.0
Pimp,SteelSeries Prime Wireless,SteelSeries,1.4,1000.0,800.0,1120.0
DemQQ,Logitech G403 HERO,Logitech,1.3,1000.0,800.0,1040.0
stfN,Glorious Model O White,Glorious,2.3,1000.0,400.0,919.9999999999999
SIXER,Razer Deathadder V3 Pro,Razer,2.3,1000.0,400.0,919.9999999999999
fitch,ZOWIE EC2-A,ZOWIE,1.5,1000.0,400.0,600.0
Almazer,Logitech G Pro X Superlight,Logitech,2.9,1000.0,400.0,1160.0
skywhywalker,Logitech G Pro X Superlight,Logitech,2.0,1000.0,1200.0,2400.0
HexT,Razer Deathadder V3 Pro White,Razer,1.4,1000.0,400.0,560.0
Nodios,ZOWIE EC1-A,ZOWIE,1.51,1000.0,400.0,604.0
Xand,Logitech G Pro X Superlight,Logitech,0.51,1000.0,800.0,408.0
LogaN,ZOWIE FK1,ZOWIE,0.534,1000.0,400.0,213.60000000000002
xms,Razer Viper V2 Pro,Razer,0.45,4000.0,800.0,360.0
s1n,Logitech G Pro X Superlight,Logitech,1.8,1000.0,400.0,720.0
Annihilation,Logitech G Pro X Superlight,Logitech,1.65,1000.0,400.0,660.0
fANDER,ZOWIE EC2,ZOWIE,1.4,1000.0,400.0,560.0
ngiN,Razer Deathadder V3 Pro,Razer,0.244,1000.0,800.0,195.2
