ign,name,age,age_range,birth,country,continent,team,game,edpi_ratio
iDISBALANCE,Artem Egorov,26,25-29,1996-12-17,Russia,EU,K23,CS:GO,1.0
FlipiN,Antonio Rivas Del Rey,35,35-39,1987-09-28,Spain,EU,Content Creator,CS:GO,1.0
paz,Ahmet Karahoca,25,25-29,1997-04-24,Turkey,AS,Free Agent,CS:GO,1.0
freakazoid,Ryan Abadir,30,30-34,1992-11-25,United States,NA,Mythic,CS:GO,1.0
z4kr,SiKe Zhang,20,20-24,2002-11-14,China,AS,Lynn Vision,CS:GO,1.0
cromen,Jørgen Robertsen,27,25-29,1995-05-31,Norway,EU,Free Agent,CS:GO,1.0
Golden,Maikil Selim,28,25-29,1994-02-02,Sweden,EU,Savage,CS:GO,1.0
DeStiNy,Lucas Bullo,25,25-29,1997-10-30,Brazil,SA,Isurus,CS:GO,1.0
realzin,Antonio Oliviera,27,25-29,1995-07-01,Brazil,SA,B4,CS:GO,1.0
shz,Bruno Martinelli,24,20-24,1998-04-21,Brazil,SA,Los Grandes,CS:GO,1.0
zevy,Romeu Rocco,21,20-24,2001-05-30,Brazil,SA,paiN Gaming,CS:GO,1.0
Kristou,Kristoffer Aamand,20,20-24,2002-01-05,Denmark,EU,Astralis Talent,CS:GO,1.0
Queenix,Jonas Dideriksen,23,20-24,1999-07-15,Denmark,EU,ECSTATIC,CS:GO,1.0
Jyo,Rassim Vallijev,27,25-29,1995-02-18,Estonia,EU,K23,CS:GO,1.0
zehN,Jesse Linjala,31,30-34,1991-11-07,Finland,EU,HAVU,CS:GO,1.0
ramz1k,Ramazan Bashizov,23,20-24,1999-12-09,Kazakhstan,AS,Golden Knights Gaming,CS:GO,1.0
TOAO,Mateusz Zawistowski,26,25-29,1996-10-07,Poland,EU,Illuminar,CS:GO,1.0
jnt,Jhonatan Silva,28,25-29,1994-05-22,Brazil,SA,Sharks Esports,CS:GO,1.0
danoco,Daniel Morgado,27,25-29,1995-12-14,Brazil,SA,Corinthians,CS:GO,1.0
daps,Damian Steele,29,25-29,1993-07-29,Canada,NA,Team Liquid,CS:GO,1.0
sergej,Jere Salo,20,20-24,2002-03-01,Finland,EU,Gorillaz Esports,CS:GO,1.0
facecrack,Dmitriy Alekseyev,28,25-29,1994-04-22,Russia,EU,Invictus Gaming,CS:GO,1.0
captainMo,Ke Liu,33,30-34,1989-05-30,China,AS,Steel Helmet,CS:GO,1.0
yel,Gustavo Knittel,30,30-34,1992-05-22,Brazil,SA,O PLANO,CS:GO,1.0
k1to,Nils Gruhne,24,20-24,1998-11-28,Germany,EU,BIG,CS:GO,1.0
SHOOWTiME,Gustavo Gonçalves,25,25-29,1997-04-01,Brazil,SA,Corinthians,CS:GO,1.0
MarKE,Edgar Maldonado,24,20-24,1998-05-10,Mexico,NA,Free Agent,CS:GO,1.0
Rickeh,Ricky Mulholland,31,30-34,1991-11-22,Australia,OC,Aftershock,CS:GO,1.0
t0rick,Maksim Zaikin,28,25-29,1994-07-06,Azerbaijan,AS,Free Agent,CS:GO,1.0
ableJ,Rinaldo Moda Junior,24,20-24,1998-11-05,Brazil,SA,Free Agent,CS:GO,1.0
ScrunK,Robin Röpke,27,25-29,1995-07-10,Germany,EU,Sangal,CS:GO,1.0
mir,Nikolay Bityukov,26,25-29,1996-01-10,Russia,EU,Entropiq,CS:GO,1.0
AMANEK,François Delauney,29,25-29,1993-08-24,France,EU,LDLC OL,CS:GO,1.0
Krimbo,Karim Moussa,20,20-24,2002-09-26,Germany,EU,BIG,CS:GO,1.0
k0nfig,Kristian Wienecke,25,25-29,1997-04-19,Denmark,EU,Heroic,CS:GO,1.0
blameF,Benjamin Bremer,25,25-29,1997-06-10,Denmark,EU,Astralis,CS:GO,1.0
VINI,Vinicius Figueiredo,23,20-24,1999-05-20,Brazil,SA,Imperial Esports,CS:GO,1.0
GeT_RiGhT,Christopher Alesund,32,30-34,1990-05-29,Sweden,EU,Content Creator,CS:GO,1.0
FalleN,Gabriel Toledo,31,30-34,1991-05-30,Brazil,SA,Imperial Esports,CS:GO,1.0
fer,Fernando Alvarenga,31,30-34,1991-10-30,Brazil,SA,Imperial Esports,CS:GO,1.0
Stewie2k,Jake Yip,24,20-24,1998-01-07,United States,NA,Evil Geniuses,VALORANT,3.18
Farlig,Asger Jensen,23,20-24,1999-03-17,Denmark,EU,Astralis,CS:GO,1.0
Chawzyyy,Hugo Günther,17,15-19,2005-03-11,Sweden,EU,Free Agent,CS:GO,1.0
BOROS,Mohammad Malhas,18,15-19,2004-05-04,Jordan,AS,Monte,CS:GO,1.0
HEN1,Henrique Teles,27,25-29,1995-07-14,Brazil,SA,MIBR,CS:GO,1.0
es3tag,Patrick Hansen,27,25-29,1995-11-29,Denmark,EU,Ninjas in Pyjamas,CS:GO,1.0
REZ,Fredrik Sterner,24,20-24,1998-01-11,Sweden,EU,Ninjas in Pyjamas,CS:GO,1.0
Brollan,Ludvig Brolin,20,20-24,2002-06-17,Sweden,EU,Ninjas in Pyjamas,CS:GO,1.0
Jimpphat,Jimi Salo,16,15-19,2006-09-09,Finland,EU,MOUZ NXT,CS:GO,1.0
misutaaa,Kévin Rabier,19,15-19,2003-01-15,France,EU,Falcons Esports,CS:GO,1.0
Peppzor,Peppe Borak,20,20-24,2002-07-23,Sweden,EU,EYEBALLERS,CS:GO,1.0
apEX,Dan Madesclaire,29,25-29,1993-02-22,France,EU,Team Vitality,CS:GO,1.0
Fessor,Frederik Sørensen,21,20-24,2001-01-24,Denmark,EU,Monte,CS:GO,1.0
FURIOUSSS,Anıl Bozdoğan,24,20-24,1998-01-23,Turkey,AS,Luminosity,CS:GO,1.0
Maikelele,Mikail Bill,31,30-34,1991-05-03,Sweden,EU,Content Creator,CS:GO,1.0
Boombl4,Kirill Mikhailov,24,20-24,1998-12-20,Russia,EU,Free Agent,CS:GO,1.0
Perfecto,Ilya Zalutskiy,23,20-24,1999-11-24,Russia,EU,Natus Vincere,CS:GO,1.0
regali,Iulian Harjău,20,20-24,2002-08-26,Romania,EU,Copenhagen Flames,CS:GO,1.0
RuStY,Alfred Karlsson,25,25-29,1997-10-04,Sweden,EU,Into The Breach,CS:GO,1.0
iM,Ivan Mihai,23,20-24,1999-07-29,Romania,EU,GamerLegion,CS:GO,1.0
poizon,Valentin Vasilev,24,20-24,1998-11-29,Bulgaria,EU,Free Agent,CS:GO,1.0
forsyy,David Bílý,21,20-24,2001-11-12,Czechia,EU,SINNERS Esports,CS:GO,1.0
Magisk,Emil Reif,24,20-24,1998-03-05,Denmark,EU,Team Vitality,CS:GO,1.0
dupreeh,Peter Rasmussen,29,25-29,1993-03-26,Denmark,EU,Team Vitality,CS:GO,1.0
Zero,Patrik Žúdel,24,20-24,1998-09-16,Slovakia,EU,SINNERS Esports,CS:GO,1.0
isak,Isak Fahlén,21,20-24,2001-09-02,Sweden,EU,GamerLegion,CS:GO,1.0
eraa,Sean Knutsson,21,20-24,2001-08-12,Sweden,EU,Young Ninjas,CS:GO,1.0
tabseN,Johannes Wodarz,27,25-29,1995-04-05,Germany,EU,BIG,CS:GO,1.0
refrezh,Ismail Ali,24,20-24,1998-02-19,Denmark,EU,Sprout,CS:GO,1.0
cadiaN,Casper Møller,27,25-29,1995-06-26,Denmark,EU,Heroic,CS:GO,1.0
FaNg,Justin Coakley,20,20-24,2002-05-07,Canada,NA,Complexity,CS:GO,1.0
JT,Johnny Theodosiou,23,20-24,1999-04-09,South Africa,AF,Complexity,CS:GO,1.0
Grim,Michael Wince,22,20-24,2000-11-22,United States,NA,Complexity,CS:GO,1.0
junior,Paytyn Johnson,22,20-24,2000-12-10,United States,NA,Complexity,CS:GO,1.0
floppy,Ricky Kemery,23,20-24,1999-12-31,United States,NA,Complexity,CS:GO,1.0
Jerry,Andrey Mekhryakov,24,20-24,1998-05-24,Russia,EU,forZe,CS:GO,1.0
stavn,Martin Lund,20,20-24,2002-03-26,Denmark,EU,Heroic,CS:GO,1.0
rigoN,Rigon Gashi,23,20-24,1999-10-07,Switzerland,EU,Bad News Eagles,CS:GO,1.0
SENER1,Sener Mahmuti,25,25-29,1997-01-19,Kosovo,EU,Bad News Eagles,CS:GO,1.0
Zyphon,Rasmus Nordfoss,18,15-19,2004-02-18,Denmark,EU,Sprout,CS:GO,1.0
jabbi,Jakob Nygaard,19,15-19,2003-07-23,Denmark,EU,Heroic,CS:GO,1.0
roeJ,Fredrik Jørgensen,29,25-29,1993-11-20,Denmark,EU,Fnatic,CS:GO,1.0
nicoodoz,Nico Tamjidi,22,20-24,2000-08-02,Denmark,EU,Fnatic,CS:GO,1.0
HooXi,Rasmus Nielsen,27,25-29,1995-05-21,Denmark,EU,G2 Esports,CS:GO,1.0
sjuush,Rasmus Beck,24,20-24,1999-01-03,Denmark,EU,Heroic,CS:GO,1.0
TeSeS,René Madsen,22,20-24,2000-12-12,Denmark,EU,Heroic,CS:GO,1.0
gxx,Genc Kolgeci,23,20-24,1999-05-03,Kosovo,EU,Bad News Eagles,CS:GO,1.0
zorte,Aleksandr Zagodyrenko,24,20-24,1998-05-28,Russia,EU,forZe,CS:GO,1.0
KENSI,Aleksandr Gurkin,21,20-24,2001-11-13,Russia,EU,Aurora,CS:GO,1.0
Brehze,Vincent Cayonte,24,20-24,1998-05-22,United States,NA,Evil Geniuses,CS:GO,1.0
RUSH,Will Wierzba,28,25-29,1994-05-05,United States,NA,Evil Geniuses,CS:GO,1.0
interz,Timofey Yakushin,22,20-24,2000-08-04,Russia,EU,Cloud9,CS:GO,1.0
sh1ro,Dmitriy Sokolov,21,20-24,2001-07-15,Russia,EU,Cloud9,CS:GO,1.0
HObbit,Abay Khasenov,28,25-29,1994-05-18,Kazakhstan,AS,Cloud9,CS:GO,1.0
Xyp9x,Andreas Højsleth,27,25-29,1995-09-11,Denmark,EU,Astralis,CS:GO,1.0
gla1ve,Lukas Rossander,27,25-29,1995-06-07,Denmark,EU,Astralis,CS:GO,1.0
CeRq,Cvetelin Dimitrov,23,20-24,1999-12-07,Bulgaria,EU,Evil Geniuses,CS:GO,1.0
EliGE,Jonathan Jablonowski,25,25-29,1997-07-19,United States,NA,Team Liquid,CS:GO,1.0
XELLOW,Adrian Guță,22,20-24,2000-10-06,Romania,EU,Sprout,CS:GO,1.0
FinigaN,Vladislav Usov,23,20-24,1999-02-16,Russia,EU,Free Agent,CS:GO,1.0
NAF,Keith Markovic,25,25-29,1997-11-24,Canada,NA,Team Liquid,CS:GO,1.0
dav1d,David Tapia Maldonado,22,20-24,2000-06-07,Chile,SA,9z Team,CS:GO,1.0
rox,Martin Molina,20,20-24,2002-09-15,Argentina,SA,9z Team,CS:GO,1.0
max,Maximiliano Gonzalez,23,20-24,1999-06-15,Uruguay,SA,9z Team,CS:GO,1.0
shox,Richard Papillon,30,30-34,1992-05-27,France,EU,Apeks,CS:GO,1.0
oSee,Joshua Ohm,23,20-24,1999-05-31,United States,NA,Team Liquid,CS:GO,1.0
Jamppi,Elias Olkkonen,21,20-24,2001-07-22,Finland,EU,Team Liquid,VALORANT,3.18
F1KU,Maciej Miklas,19,15-19,2003-05-29,Poland,EU,OG Esports,CS:GO,1.0
s1ren,Pavel Ogloblin,20,20-24,2002-07-16,Russia,EU,Team Spirit,CS:GO,1.0
Furlan,Damian Kisłowski,28,25-29,1994-12-29,Poland,EU,AGO,CS:GO,1.0
jedqr,Grzegorz Jędras,24,20-24,1998-11-03,Poland,EU,AGO,CS:GO,1.0
Goofy,Krzysztof Górski,22,20-24,2000-08-29,Poland,EU,9INE,CS:GO,1.0
Sobol,Kamil Sobolewski,24,20-24,1998-01-24,Poland,EU,Free Agent,CS:GO,1.0
Marix,Max Kugener,19,15-19,2003-07-30,Luxembourg,EU,OG Academy,CS:GO,1.0
Staehr,Victor Staehr,18,15-19,2004-07-19,Denmark,EU,Sprout,CS:GO,1.0
leman,Eryk Kocęba,25,25-29,1997-01-21,Poland,EU,AGO,CS:GO,1.0
kRaSnaL,Szymon Mrozek,19,15-19,2003-04-02,Poland,EU,Monte,CS:GO,1.0
Nivera,Nabil Benrlitom,21,20-24,2001-06-10,Belgium,EU,Karmine Corp,VALORANT,3.18
vanity,Anthony Malaspina,24,20-24,1998-12-04,United States,NA,Cloud9,VALORANT,3.18
xeta,Seon-Ho Son,25,25-29,1997-06-03,South Korea,AS,T1,VALORANT,3.18
Aleksib,Aleksi Virolainen,25,25-29,1997-03-30,Finland,EU,Ninjas in Pyjamas,CS:GO,1.0
D0cC,Shuaib Ahmad,22,20-24,2000-09-04,Netherlands,EU,Content Creator,CS:GO,1.0
slaxz,Fritz Dietrich,24,20-24,1998-11-25,Germany,EU,Free Agent,CS:GO,1.0
Spiidi,Timo Richter,27,25-29,1995-09-13,Germany,EU,Free Agent,CS:GO,1.0
raalz,Rasmus Steensborg,27,25-29,1995-07-30,Denmark,EU,Copenhagen Flames,CS:GO,1.0
Norwi,Evgeniy Ermolin,21,20-24,2001-03-20,Russia,EU,forZe,CS:GO,1.0
fame,Pyotr Bolyshev,19,15-19,2003-03-03,Russia,EU,Outsiders,CS:GO,1.0
ardiis,Ardis Svarenieks,24,20-24,1998-05-01,Latvia,EU,NRG,VALORANT,3.18
Tacolilla,Vicente Compagnon,22,20-24,2000-10-03,Chile,SA,Leviatan,VALORANT,3.18
Less,Felipe Basso,17,15-19,2005-02-24,Brazil,SA,LOUD,VALORANT,3.18
Sayaplayer,Ha Jung-woo,24,20-24,1998-07-29,South Korea,AS,T1,VALORANT,3.18
SoOn,Terence Tarlier,28,25-29,1994-02-04,France,EU,CGN Esports,VALORANT,3.18
dicey,Quan Tran,20,20-24,2002-12-17,United States,NA,FaZe Clan,VALORANT,3.18
aceu,Brandon Winn,27,25-29,1995-04-07,United States,NA,Sentinels,Apex,1.0
AvovA,Auni Chahade,24,20-24,1998-11-05,Denmark,EU,Team Heretics,VALORANT,3.18
sinatraa,Jay Won,22,20-24,2000-03-18,United States,NA,Sentinels,VALORANT,3.18
governor,Peter No,19,15-19,2003-08-19,United States,NA,Free Agent,VALORANT,3.18
crashies,Austin Roberts,25,25-29,1997-12-20,United States,NA,NRG,VALORANT,3.18
Doma,Domagoj Fancev,19,15-19,2003-07-29,Croatia,EU,MAD Lions,VALORANT,3.18
KRYPTIX,James Affleck,27,25-29,1995-05-24,United Kingdom,EU,Free Agent,VALORANT,3.18
mitch,Mitch Semago,26,25-29,1996-07-31,United States,NA,Free Agent,VALORANT,3.18
Redgar,Igor Vlasov,25,25-29,1997-10-17,Russia,EU,Team Liquid,VALORANT,3.18
cNed,Mehmet Yağız İpek,20,20-24,2002-01-18,Turkey,AS,Natus Vincere,VALORANT,3.18
Zeek,Aleksander Zygmunt,21,20-24,2001-09-11,Poland,EU,Team Heretics,VALORANT,3.18
Kiles,Vladyslav Shvets,25,25-29,1997-08-26,Ukraine,EU,Free Agent,VALORANT,3.18
Rawkus,Shane Flaherty,28,25-29,1994-06-16,United States,NA,Free Agent,VALORANT,3.18
curry,Rahul Nemani,20,20-24,2002-08-05,United States,NA,Free Agent,VALORANT,3.18
FASHR,Dion Derksen,26,25-29,1996-01-10,Netherlands,EU,Fnatic,CS:GO,1.0
Benkai,Benedict Tan,26,25-29,1996-11-10,Singapore,AS,Paper Rex,VALORANT,3.18
mindfreak,Aaron Leonhart,23,20-24,1999-10-04,Indonesia,AS,Paper Rex,VALORANT,3.18
TENNN,Tenta Asai,21,20-24,2001-10-19,Japan,AS,ZETA DIVISION,VALORANT,3.18
Dep,Yuma Hashimoto,22,20-24,2000-12-04,Japan,AS,ZETA DIVISION,VALORANT,3.18
crow,Tomoaki Maruoka,25,25-29,1997-11-28,Japan,AS,ZETA DIVISION,VALORANT,3.18
ShadoW,Tobias Flodström,27,25-29,1995-06-11,Sweden,EU,Free Agent,VALORANT,3.18
Zest,Kim Gi-seok,22,20-24,2000-12-27,South Korea,AS,DRX,VALORANT,3.18
MaKo,Kim Myeong-kwan,20,20-24,2002-01-15,South Korea,AS,DRX,VALORANT,3.18
stax,Kim Gu-taek,22,20-24,2000-02-16,South Korea,AS,DRX,VALORANT,3.18
valyn,Jacob Batio,19,15-19,2003-01-04,United States,NA,The Guard,VALORANT,3.18
hoody,Aaro Peltokangas,24,20-24,1998-09-17,Finland,EU,Giants,VALORANT,3.18
Kanpeki,Eric Xu,25,25-29,1997-11-21,United States,NA,Free Agent,VALORANT,3.18
Rb,Goo Sang-min,21,20-24,2001-12-07,South Korea,AS,DRX,VALORANT,3.18
effys,Loic Sauvageau,30,30-34,1992-09-19,Canada,NA,Version1,VALORANT,3.18
Lakia,Kim Jong-min,22,20-24,2000-12-24,South Korea,AS,DWG KIA,VALORANT,3.18
Saadhak,Matias Delipetro,25,25-29,1997-03-08,Argentina,SA,LOUD,VALORANT,3.18
sinnopsyy,Dionis Budeci,27,25-29,1995-07-24,Albania,EU,Bad News Eagles,CS:GO,1.0
juanflatroo,Flatron Halimi,25,25-29,1997-03-18,Kosovo,EU,Bad News Eagles,CS:GO,1.0
mhL,Miłosz Knasiak,20,20-24,2002-03-03,Poland,EU,MOUZ NXT,CS:GO,1.0
siuhy,Kamil Szkaradek,20,20-24,2002-08-26,Poland,EU,GamerLegion,CS:GO,1.0
szejn,Hubert Światły,20,20-24,2002-01-04,Poland,EU,Free Agent,CS:GO,1.0
JOTA,Jhonatan Willian,24,20-24,1998-02-02,Brazil,SA,MIBR,CS:GO,1.0
Tuurtle,Matheus Marques Anhaia,24,20-24,1998-10-31,Brazil,SA,MIBR,CS:GO,1.0
shalfey,Aleksandr Marenov,20,20-24,2002-06-08,Russia,EU,forZe,CS:GO,1.0
coldzera,Marcelo David,28,25-29,1994-10-31,Brazil,SA,00Nation,CS:GO,1.0
Daffu,Jakob Schildt,25,25-29,1997-09-24,Denmark,EU,ECSTATIC,CS:GO,1.0
maNkz,Marcus Kjeldsen,24,20-24,1998-04-21,Denmark,EU,ECSTATIC,CS:GO,1.0
birdfromsky,Thomas Due Frederiksen,29,25-29,1993-09-09,Denmark,EU,Copenhagen Flames,CS:GO,1.0
BnTeT,Hansel Ferdinand,27,25-29,1995-08-28,Indonesia,AS,Team NKT,CS:GO,1.0
WOOD7,Adriano Cerato,27,25-29,1995-05-23,Brazil,SA,Fluxo,CS:GO,1.0
brnz4n,Breno Poletto,19,15-19,2003-08-26,Brazil,SA,MIBR,CS:GO,1.0
rain,Håvard Nygaard,28,25-29,1994-08-27,Norway,EU,FaZe Clan,CS:GO,1.0
Python,Jordan Munck-Foehrle,21,20-24,2001-11-16,France,EU,Falcons Esports,CS:GO,1.0
autimatic,Timothy Ta,26,25-29,1996-09-10,United States,NA,Evil Geniuses,CS:GO,1.0
nitr0,Nicholas Cannella,27,25-29,1995-08-16,United States,NA,Team Liquid,CS:GO,1.0
tarik,Tarik Celik,26,25-29,1996-02-18,United States,NA,Sentinels,VALORANT,3.18
JASONR,Jason Ruchelski,28,25-29,1994-08-02,Canada,NA,Content Creator,VALORANT,3.18
Relyks,Skyler Weaver,27,25-29,1995-01-12,United States,NA,Free Agent,VALORANT,3.18
Drone,Taylor Johnson,25,25-29,1997-08-29,United States,NA,Free Agent,VALORANT,3.18
Cutler,Stephen Cutler,24,20-24,1998-11-27,United States,NA,Free Agent,VALORANT,3.18
Will,William Cheng,23,20-24,1999-11-20,Canada,NA,Free Agent,VALORANT,3.18
delz1k,Joaquín Ignacio Espinoza Soto,22,20-24,2000-06-22,Chile,SA,Free Agent,VALORANT,3.18
AYRIN,Jordan He,26,25-29,1996-04-04,Canada,NA,Global Esports,VALORANT,3.18
nython,Gabriel Lino,25,25-29,1997-10-10,Brazil,SA,paiN Gaming,CS:GO,1.0
Wardell,Matthew Yu,24,20-24,1998-07-05,Canada,NA,Free Agent,VALORANT,3.18
dgt,Franco Garcia,21,20-24,2001-05-12,Uruguay,SA,9z Team,CS:GO,1.0
karrigan,Finn Andersen,32,30-34,1990-04-14,Denmark,EU,FaZe Clan,CS:GO,1.0
dephh,Rory Jackson,31,30-34,1991-12-23,United Kingdom,EU,Sentinels,VALORANT,3.18
broky,Helvijs Saukants,21,20-24,2001-02-14,Latvia,EU,FaZe Clan,CS:GO,1.0
JACKZ,Audric Jug,30,30-34,1992-07-07,France,EU,HEET,CS:GO,1.0
AZK,Kevin Larivière ,31,30-34,1991-03-25,Canada,NA,Free Agent,VALORANT,3.18
Skadoodle,Tyler Latham,29,25-29,1993-07-21,United States,NA,Free Agent,VALORANT,3.18
mixwell,Oscar Cañellas Colocho,23,20-24,1999-10-10,Spain,EU,Team Heretics,VALORANT,3.18
Ethan,Ethan Arnold,22,20-24,2000-03-02,United States,NA,Evil Geniuses,VALORANT,3.18
Hiko,Spencer Martin,32,30-34,1990-03-06,United States,NA,Content Creator,VALORANT,3.18
huNter,Nemanja Kovač,27,25-29,1996-01-03,Bosnia and Herzegovina,EU,G2 Esports,CS:GO,1.0
SicK,Hunter Mims,24,20-24,1998-09-02,United States,NA,Sentinels,VALORANT,3.18
ShahZaM,Shahzeb Khan,29,25-29,1993-10-08,United States,NA,G2 Esports,VALORANT,3.18
FNS,Pujan Mehta,30,30-34,1992-03-19,Canada,NA,NRG,VALORANT,3.18
ANGE1,Kirill Karasiow,33,30-34,1989-09-10,Ukraine,EU,Natus Vincere,VALORANT,3.18
Subroza,Yassine Taoufik,25,25-29,1997-07-06,Canada,NA,TSM,VALORANT,3.18
Zellsis,Jordan Montemurro,24,20-24,1998-03-02,United States,NA,Cloud9,VALORANT,3.18
pyth,Jacob Mourujärvi,29,25-29,1993-09-21,Sweden,EU,Bleed eSports,VALORANT,3.18
brax,Braxton Pierce,26,25-29,1996-09-20,United States,NA,T1,VALORANT,3.18
dimasick,Dmitry Matvienko,26,25-29,1996-07-06,Kazakhstan,AS,Free Agent,VALORANT,3.18
vice,Daniel Kim,27,25-29,1995-11-09,United States,NA,ANDBOX,VALORANT,3.18
lowel,Christian Garcia Antoran,26,25-29,1996-12-11,Spain,EU,Team Heretics,VALORANT,3.18
s0m,Sam Oh,20,20-24,2002-06-07,United States,NA,NRG,VALORANT,3.18
hazed,James Cobb,33,30-34,1989-05-22,United States,NA,Free Agent,VALORANT,3.18
tiziaN,Tizian Feldbusch,26,25-29,1996-06-15,Germany,EU,BIG,CS:GO,1.0
flusha,Robin Rönnquist,29,25-29,1993-08-12,Sweden,EU,EYEBALLERS,CS:GO,1.0
Snax,Janusz Pogorzelski,29,25-29,1993-07-05,Poland,EU,Finest,CS:GO,1.0
PKL,Vinícios Coelho,28,25-29,1994-07-21,Brazil,SA,paiN Gaming,CS:GO,1.0
cajunb,René Borg,33,30-34,1989-12-13,Denmark,EU,Astralis Talent,CS:GO,1.0
SLOWLY,Kelun Sun,21,20-24,2001-09-23,China,AS,TyLoo,CS:GO,1.0
KioShiMa,Fabien Fiey,28,25-29,1994-07-29,France,EU,Free Agent,CS:GO,1.0
mirbit,Sabit Coktasar,26,25-29,1996-11-04,Germany,EU,Nordavind,CS:GO,1.0
NickelBack,Alexey Trofimov,25,25-29,1997-07-17,Russia,EU,Entropiq,CS:GO,1.0
Lack1,Viktor Boldyrev,23,20-24,1999-08-20,Kazakhstan,AS,Aurora,CS:GO,1.0
Krad,Vladislav Kravchenko,23,20-24,1999-01-09,Russia,EU,forZe,CS:GO,1.0
latto,Bruno Rebelatto,20,20-24,2002-12-21,Brazil,SA,00Nation,CS:GO,1.0
dream3r,Simeon Ganev,25,25-29,1997-01-28,Bulgaria,EU,Free Agent,CS:GO,1.0
mezii,William Merriman,24,20-24,1998-10-15,United Kingdom,EU,Fnatic,CS:GO,1.0
b0RUP,Johannes Borup,23,20-24,1999-09-29,Denmark,EU,Copenhagen Flames,CS:GO,1.0
MiGHTYMAX,Max Heath,25,25-29,1997-07-14,United Kingdom,EU,Endpoint,CS:GO,1.0
sterling,Euan Moore,24,20-24,1998-06-27,New Zealand,OC,Encore Esports Club,CS:GO,1.0
DANK1NG,Zhenghao Lyu,23,20-24,1999-09-15,China,AS,TyLoo,CS:GO,1.0
Summer,YuLun Cai,25,25-29,1997-05-16,China,AS,TyLoo,CS:GO,1.0
Attacker,YuanZhang Sheng,25,25-29,1997-01-07,China,AS,TyLoo,CS:GO,1.0
Rainwaker,Aleks Petrov,21,20-24,2001-04-27,Bulgaria,EU,500,CS:GO,1.0
dennyslaw,Denislav Dimitrov,23,20-24,1999-11-17,Bulgaria,EU,500,CS:GO,1.0
Forester,Igor Bezotecheskiy,23,20-24,2000-01-03,Russia,EU,Entropiq,CS:GO,1.0
El1an,Aleksey Gusev,23,20-24,1999-07-19,Russia,EU,Entropiq,CS:GO,1.0
LNZ,Linus Holtäng,20,20-24,2002-10-20,Sweden,EU,Free Agent,CS:GO,1.0
phzy,Love Smidebrant,20,20-24,2002-09-24,Sweden,EU,Sangal,CS:GO,1.0
boX,Anton Burko,27,25-29,1995-02-16,Belarus,EU,Websterz,CS:GO,1.0
Wolfy,Adam Andersson,24,20-24,1998-12-08,Sweden,EU,Fnatic Rising,CS:GO,1.0
alex,Alejandro Masanet Candela,27,25-29,1995-12-15,Spain,EU,Movistar Riders,CS:GO,1.0
mopoz,Alejandro Fernández-Quejo Cano,26,25-29,1996-08-07,Spain,EU,Movistar Riders,CS:GO,1.0
hAdji,Ali Haïnouss,27,25-29,1995-11-03,France,EU,Falcons Esports,CS:GO,1.0
dav1g,David Granado Bermudo,21,20-24,2001-06-06,Spain,EU,Movistar Riders,CS:GO,1.0
SunPayus,Alvaro Garcia,24,20-24,1998-11-19,Spain,EU,ENCE,CS:GO,1.0
olofmeister,Olof Kajbjer Gustafsson,30,30-34,1992-01-31,Sweden,EU,FaZe Clan,CS:GO,1.0
pashaBiceps,Jarosław Jarząbkowski,34,30-34,1988-04-11,Poland,EU,Content Creator,CS:GO,1.0
felps,João Vasconcellos,26,25-29,1996-12-16,Brazil,SA,Fluxo,CS:GO,1.0
TACO,Epitácio de Melo,27,25-29,1995-01-24,Brazil,SA,00Nation,CS:GO,1.0
dumau,Eduardo Wolkmer,19,15-19,2003-11-09,Brazil,SA,00Nation,CS:GO,1.0
b4rtiN,Bruno Câmara,20,20-24,2002-01-11,Brazil,SA,GODSENT,CS:GO,1.0
anarkez,Guy Trachtman,23,20-24,1999-11-08,Israel,AS,Free Agent,CS:GO,1.0
shokz,Kristjan Jakobson,25,25-29,1997-12-23,Estonia,EU,Finest,CS:GO,1.0
kreaz,Rasmus Johansson,24,20-24,1998-04-10,Sweden,EU,Finest,CS:GO,1.0
PlesseN,Niclas Plessen,24,20-24,1998-05-29,Sweden,EU,Finest,CS:GO,1.0
n0thing,Jordan Gilbert,32,30-34,1990-10-25,United States,NA,Content Creator,CS:GO,1.0
bodyy,Alexandre Pianaro,25,25-29,1997-01-08,France,EU,HEET,CS:GO,1.0
JW,Jesper Wecksell,27,25-29,1995-02-23,Sweden,EU,EYEBALLERS,CS:GO,1.0
gade,Nicklas Gade,28,25-29,1994-11-06,Denmark,EU,Retired,CS:GO,1.0
SZPERO,Grzegorz Dziamałek,31,30-34,1991-06-06,Poland,EU,9INE,CS:GO,1.0
snatchie,Michał Rudzki,24,20-24,1998-01-31,Poland,EU,AGO,CS:GO,1.0
prt,Matheus Scuvero,25,25-29,1997-12-18,Brazil,SA,Free Agent,CS:GO,1.0
pesadelo,Matheus Panisset,23,20-24,1999-08-12,Brazil,SA,Team oNe eSports,CS:GO,1.0
Maluk3,Pedro Campos,32,30-34,1990-03-21,Brazil,SA,Team oNe eSports,CS:GO,1.0
trk,Alencar Rossato,27,25-29,1995-06-24,Brazil,SA,Team oNe eSports,CS:GO,1.0
Kyojin,Jayson Nguyen,23,20-24,1999-04-02,France,EU,Free Agent,CS:GO,1.0
Keoz,Nicolas Dgus,22,20-24,2000-12-29,Belgium,EU,GamerLegion,CS:GO,1.0
